id,value
id_95,15.175895811539398
id_96,17.305526193840606
id_97,9.161899646308095
id_98,10.491299428450176
id_99,4.837143509917277
id_100,10.27034188925261
id_101,18.774511917649342
id_102,11.346168438716123
id_103,9.175888350236242
id_104,13.007596520190445
id_105,36.58148093948037
id_106,22.814272307282163
id_107,8.387092100426049
id_108,17.484289351967963
id_109,16.124289330758177
id_110,11.092092252353572
id_111,14.652156285195172
id_112,16.424509236297915
id_113,24.636246912247373
id_114,20.108412506076704
id_115,15.466004200661903
id_116,9.127332853273279
id_117,43.56236607204518
id_118,25.604781398005425
id_119,0.9789917148068352
id_120,0.26147524552260526
id_121,10.395487710900904
id_122,12.482992109379369
id_123,11.895455247936642
id_124,7.224751782098689
id_125,25.08179221934256
id_126,23.66748365523411
id_127,9.173208787240753
id_128,19.44552771808
id_129,13.11538539033808
id_130,-0.3933133349645941
id_131,31.933288242023178
id_132,15.515803337807808
id_133,22.02879148628641
id_134,26.9711578422371
id_135,25.35601510273564
id_136,9.90800857216388
id_137,22.837686057294352
id_138,78.24188719825653
id_139,62.93734142011701
id_140,27.781393303078772
id_141,18.913079856645773
id_142,24.517694473132416
id_143,7.22591013448059
id_144,14.404564646080573
id_145,9.481704426161338
id_146,19.72505060086349
id_147,7.391568594381296
id_148,12.310708369976307
id_149,16.327282514267406
id_150,45.45550816112217
id_151,19.24142411044332
id_152,21.82560223566145
id_153,13.956254274903532
id_154,14.17630882764064
id_155,23.611923591426248
id_156,24.21990812492266
id_157,37.15261028010935
id_158,3.4243397785423024
id_159,22.63550775167915
id_160,41.34481396942138
id_161,19.19797412707842
id_162,60.5228109678332
id_163,16.53248725012983
id_164,34.02515634956508
id_165,25.122241081977087
id_166,22.035027830697548
id_167,0.5646297172337941
id_168,68.68012622280732
id_169,16.118519409219765
id_170,15.997034389758799
id_171,70.61398142997956
id_172,20.55759784498406
id_173,2.581374173278739
id_174,24.130950630955798
id_175,-0.12506859361671685
id_176,9.008962853736557
id_177,18.116660723408003
id_178,22.542002464502474
id_179,24.224702498074564
id_180,42.426911092860315
id_181,34.29955600058794
id_182,30.80259807959984
id_183,14.684387520754534
id_184,7.304340718390395
id_185,42.14187723415341
id_186,35.80671415869015
id_187,33.813440177086775
id_188,15.18967292250225
id_189,24.53371582382334
id_190,14.375703076952053
id_191,15.004678983707946
id_192,29.743447383454257
id_193,73.77007581802596
id_194,31.914431113278894
id_195,10.803626207067538
id_196,62.112428909703866
id_197,17.875872974267647
id_198,19.964115744514597
id_199,20.868638426241112
id_200,122.73933910591279
id_201,22.799059707014084
id_202,58.38570728013526
id_203,4.326510460622663
id_204,58.888087081645864
id_205,33.985127590127846
id_206,14.602329288633182
id_207,15.234836901294
id_208,60.60117270273013
id_209,14.002788591423684
id_210,38.51987973740769
id_211,68.13391334746932
id_212,19.16194654525141
id_213,113.96648885469332
id_214,40.595122171676785
id_215,75.99465313151408
id_216,90.30820848282929
id_217,70.9848156820151
id_218,30.59533241646129
id_219,21.92179892839362
id_220,30.176640084240713
id_221,56.353198044328664
id_222,25.838322146481193
id_223,38.67341793252489
id_224,42.960622916369196
id_225,9.651197995016954
id_226,5.944727766822524
id_227,81.6120407590401
id_228,29.215201786622508
id_229,1.9120325702060712
id_230,39.86568882988483
id_231,14.80701686621028
id_232,22.355281395517757
id_233,6.995626380058099
id_234,16.068873735400775
id_235,25.13452844697542
id_236,14.403167145810755
id_237,3.5273233417910177
id_238,23.179122676164663
id_239,13.159372376575984
